id_palavra;portugues;romaji;hiragana;katakana;num_silabas;;;
166;Entrada;iriguchi;いりぐち;イリグチ;4;;;
167;Catraca;kaisatsuguchi;かいさつぐち;カイサツグチ;6;;;
168;Avião;hikouki;ひこうき;ヒコウキ;4;;;
169;Navio;fune;ふね;フネ;2;;;
170;Aeroporto;kuukou;くうこう;クウコウ;4;;;
171;Passagem Aérea;kuukouken;くうこうけん;クウコウケン;6;;;
172;Bilhete;joshaken;じょしゃけん;ジョシャケン;6;;;
173;Ida;katamichi;かたみち;カタミチ;4;;;
174;Bilhete;kippu;きっぷ;キップ;3;;;
175;Multa;bakkin;ばっきん;バッキン;4;;;
176;Estacionamento;chuushajou;ちゅうしゃじょう;チュウシャジョウ;8;;;
177;Pare;tomare;とまれ;トマレ;3;;;
178;Trânsito;koutsuu;こうつう;コウツウ;4;;;
179;Pedestre;hokousha;ほこうしゃ;ホコウシャ;5;;;
180;Direita;migi;みぎ;ミギ;2;;;
181;Esquerda;hidari;ひだり;ヒダリ;3;;;
182;Semáforo;shingou;しんごう;シンゴウ;4;;;
183;Vermelho;aka;あか;アカ;2;;;
184;Azul ;ao;あお;アオ;2;;;
185;Amarelo;kiiro;きいろ;キイロ;3;;;
186;Estrada;dooro;どおろ;ドオロ;3;;;
187;Rua;toori;とおり;トオリ;3;;;
188;Exercicío;undou;うんどう;ウンドウ;4;;;
189;Jogo/Partida;shiai;しあい;シアイ;3;;;
190;Ganhar;katsu;かつ;カツ;2;;;
191;Perder;makeru;まける;マケル;3;;;
192;Jogador De Futebol;sakkaasenshu;さっかあせんしゅ;サッカアセンシュ;8;;;
193;Beisebol;yakyuu;やきゅう;ヤキュウ;4;;;
194;Natação;suiei;すいえい;スイエイ;4;;;
195;Ginásio;taikukan;たいくかん;タイクカン;5;;;
196;Ginástica;taisou;たいそう;タイソウ;4;;;
197;Corpo Humano;jintai;じんたい;ジンタイ;4;;;
198;Peso;taijuu;たいじゅう;タイジュウ;5;;;
199;Altura;shinchou;しんちょう;シンチョウ;5;;;
200;Transformação;henshin;へんしん;ヘンシン;4;;;
